baoanshigu 饱谙世故
baobandaiti 包办代替
baobenfanshi 报本反始
baobianyuduo 褒贬与夺
baobinggongshi 报冰公事
baobumaosi 抱布贸丝
baocanshouque 抱残守缺
baocanshouque 抱残守阙
baocanyidun 饱餐一顿
baocanghuoxin 包藏祸心
baocangjianxin 包藏奸心
baochengshouzhen 抱诚守真
baochengyituan 抱成一团
baochouxuechi 报仇雪耻
baochouxuehen 报仇雪恨
baodabuping 抱打不平
baodatianxia 包打天下
baodaobulao 宝刀不老
baodaoweilao 宝刀未老
baofachushi 抱法处势
baofengjiyu 暴风疾雨
baofubufan 抱负不凡
baoguanjituo 抱关击柝
baoguoanmin 保国安民
baohenzhongtian 抱恨终天
baohupinghe 暴虎冯河
baohuowoxin 抱火卧薪
baojiaweiguo 保家卫国
baojingcangsang 饱经沧桑
baojingfengshuang 饱经风霜
baojingfengyu 饱经风雨
baojingshigu 饱经世故
baojuyunei 包举宇内
baolancisong 包揽词讼
baolingshoulv 抱令守律
baoluwuyi 暴露无遗
baoluowanxiang 包罗万象
baoluowanyou 包罗万有
baomaxiangche 宝马香车
baoneilingwai 暴内陵外
baonuanshengyinyu 饱暖生淫欲
baonuansiyinyu 饱暖思淫欲
baonuewudao 暴虐无道
baopuhanzhen 抱朴含真
baoshanbiane 褒善贬恶
baoshankonghui 宝山空回
baoshinuanyi 饱食暖衣
baoshizhongri 饱食终日
baosiliupi 豹死留皮
baotiantianwu 暴殄天物
baotiaorulei 暴跳如雷
baotiaorulei 爆跳如雷
baotoudaku 抱头大哭
baotouhuanyan 豹头环眼
baotoushucuan 抱头鼠窜
baotoutongku 抱头痛哭
baowanzhaigua 抱蔓摘瓜
baowengguanyuan 抱瓮灌园
baoxibubaoyou 报喜不报忧
baoxinjiuhuo 抱薪救火
baoxiurenchi 包羞忍耻
baoxuezhishi 饱学之士
baoyibodai 褒衣博带
baoyilaoquan 饱以老拳
baoyingbushuang 报应不爽
baoyuwozhu 抱玉握珠
baoyuzhisi 鲍鱼之肆
baoyuanxuechi 抱怨雪耻
baozaorulei 暴躁如雷
baozhushibing 宝珠市饼
baozhuzhixin 抱柱之信
baozinongsun 抱子弄孙
beiantouming 背暗投明
beibeifuju 背碑覆局
beibenjiumo 背本就末
beibenqumo 背本趋末
beibiwochuo 卑鄙龌龊
beibiwuchi 卑鄙无耻
beibizhisheng 北鄙之声
beibuzisheng 悲不自胜
beibuzudao 卑不足道
beichangjianku 备尝艰苦
beichangxinku 备尝辛苦
beichenxinggong 北辰星拱
beichengjieyi 背城借一
beichengyizhan 背城一战
beichongruojing 被宠若惊
beichuanggaowo 北窗高卧
beicihoubi 卑辞厚币
beicizhongbi 卑辞重币
beicongzhonglai 悲从中来
beidaoerchi 背道而驰
beidaoerjin 倍道而进
beidaozhuren 北道主人
beidouzhizun 北斗之尊
beierbuyong 备而不用
beifentianying 悲愤填膺
beifengzhilian 北风之恋
beifushoudi 背腹受敌
beigejizhu 悲歌击筑
beigekangkai 悲歌慷慨
beigongjiaocuo 杯觥交错
beigongqujie 卑躬屈节
beigongquxi 卑躬屈膝
beigongsheying 杯弓蛇影
beigongshihu 杯弓市虎
beigongyinger 北宫婴儿
beigongyingsi 背公营私
beiguanyanshi 悲观厌世
beiguoxiansheng 北郭先生
beihuanlihe 悲欢离合
beijinglixiang 背井离乡
beijiugemao 杯酒戈矛
beijiushibingquan 杯酒释兵权
beijiuyanhuan 杯酒言欢
beimennanya 北门南牙
beimensuoyue 北门锁钥
beimenzhiji 北门之寄
beimianchengchen 北面称臣
beimingzhijing 杯茗之敬
beipanlangji 杯盘狼籍
beipanlangji 杯盘狼藉
beiqianmianhou 背前面后
beiquyaogong 背曲腰躬
beiquezhugong 贝阙珠宫
beiribingxing 倍日并行
beirubeichu 悖入悖出
beiruomangci 背若芒刺
beishanqilou 背山起楼
beisheguiche 杯蛇鬼车
beishehuanying 杯蛇幻影
beishenjianti 卑身贱体
beishengzaidao 悲声载道
beishuichexin 杯水车薪
beishuiyizhan 背水一战
beishuiyuxin 杯水舆薪
beishuizhixie 杯水之谢
beisoushima 北叟失马
beitianminren 悲天悯人
beitongyujue 悲痛欲绝
beiweichongshu 备位充数
beixijiaoji 悲喜交集
beixianglijing 背乡离井
beixinqiyi 背信弃义
beiyizimu 卑以自牧
beiyuanshichu 北辕适楚
beizhenanyuan 北辙南辕
beizhongsheying 杯中蛇影
beizhongzhiwu 杯中之物
bengubangning 本固邦宁
benkouzhuoshe 笨口拙舌
benmodaozhi 本末倒置
benniaoxianfei 坌鸟先飞
benniaoxianfei 笨鸟先飞
bentongmoli 本同末离
bentongmoyi 本同末异
benxiangbentu 本乡本土
benxiangbilu 本相毕露
benxiaoliwei 本小利微
benxingnanyi 本性难移
benyijuechen 奔轶绝尘
benyijuechen 奔逸绝尘
benzhibaishi 本枝百世
benzouhuhao 奔走呼号
benzouxianggao 奔走相告
benzouzhiyou 奔走之友
benzouzuanying 奔走钻营
benzuibenshe 笨嘴笨舌
benzuizhuoshe 笨嘴拙舌
bibaomohan 笔饱墨酣
bibijieshi 比比皆是
bibudeyi 必不得已
bibudeyi 逼不得已
bichangbujing 匕鬯不惊
bicheleima 弊车羸马
bicibici 彼此彼此
bicongseming 蔽聪塞明
bidaruchuan 笔大如椽
bidichunfeng 笔底春风
biduanchuhuo 鼻端出火
bierbutan 避而不谈
bifakouzhu 笔伐口诛
bigaibuqi 敝盖不弃
bigemowu 笔歌墨舞
bigengyantian 笔耕砚田
bigongbijing 必恭必敬
bigongbijing 毕恭毕敬
bigongbiqin 必躬必亲
bigusangtun 敝鼓丧豚
biguanzishou 闭关自守
bihaijiuli 避害就利
bihaiqingtian 碧海青天
bihanmobao 笔酣墨饱
bihanruliu 笔翰如流
bihezhulian 璧合珠联
bihudushu 闭户读书
bihukefeng 比户可封
bihuojiufu 避祸就福
bijicangshi 避迹藏时
bijiweixin 避迹违心
bijiandieji 比肩叠迹
bijiandieji 比肩迭迹
bijiandiezhong 比肩迭踵
bijianerli 比肩而立
bijianjizhong 比肩继踵
bijianjiezhong 比肩接踵
bijianqisheng 比肩齐声
bijiansheying 壁间蛇影
bijiewoying 彼竭我盈
bijuefengqing 弊绝风清
bijunsanshe 避君三舍
bikengluojing 避坑落井
bikongchaotian 鼻孔朝天
bikongliaotian 鼻孔辽天
bikongwanli 碧空万里
bikoubushe 闭口捕舌
bikoubuyan 闭口不言
bikoucangshe 闭口藏舌
bileisenyan 壁垒森严
biliqianlou 鄙俚浅陋
biliqianren 壁立千仞
bilitongxin 毕力同心
biliangqiguan 比量齐观
biliangweichang 逼良为娼
bilulanlv 筚路蓝缕
bilulanlv 筚路褴褛
biluohuangquan 碧落黄泉
bimenbuchu 闭门不出
bimenbuna 闭门不纳
bimendushu 闭门读书
bimenhezhe 闭门合辙
bimenmiju 闭门觅句
bimenquegui 闭门却轨
bimenquesao 闭门却扫
bimensiguo 闭门思过
bimensiqian 闭门思愆
bimentouxia 闭门投辖
bimenxieke 闭门谢客
bimenzaoche 闭门造车
bimianyinxing 避面尹邢
bimingsecong 蔽明塞聪
bimoguansi 笔墨官司
bimozhilin 笔墨之林
bimozhiyan 笔墨纸砚
bimulianzhi 比目连枝
bimuseting 闭目塞听
binanjiuyi 避难就易
binishanyu 避溺山隅
binianbudeng 比年不登
biqiruiqi 避其锐气
biqiangjiruo 避强击弱
biqinglianzhong 鼻青脸肿
biqingyanzhong 鼻青眼肿
biquanliangli 比权量力
birangxianlu 避让贤路
birenermu 避人耳目
birentaishen 逼人太甚
biriganyun 蔽日干云
birizhetian 蔽日遮天
biroufusheng 髀肉复生
bisaoqianjun 笔扫千军
biseyanjingzhuomaque 闭塞眼睛捉麻雀
bishangliangshan 逼上梁山
bishijixu 避实击虚
bishijinma 避世金马
bishijiuxu 避实就虚
bishiqiangdong 避世墙东
bishouhuajiao 比手划脚
bisuquxin 避俗趋新
biweibuqi 敝帷不弃
biwucizhi 比物此志
biwukefeng 比屋可封
bixirulei 鼻息如雷
bixiachaosheng 笔下超生
bixiashenghua 笔下生花
bixiayouyu 比下有余
bixiongquji 避凶趋吉
bixuedanxin 碧血丹心
biyezhengming 必也正名
biyezuozhou 俾夜作昼
biyibuxie 鄙夷不屑
biyilishi 敝衣粝食
biyilianzhi 比翼连枝
biyiqifei 比翼齐飞
biyishushi 弊衣蔬食
biyishuangfei 比翼双飞
biyousizhou 臂有四肘
biyouzhilu 必由之路
biyubuxie 鄙于不屑
biyuexiuhua 闭月羞花
bizhengzhidi 必争之地
bizhiruomei 避之若浼
bizhongjiuqing 避重就轻
bizhouqianjin 敝帚千金
bizhouzizhen 弊帚自珍
bizhouzizhen 敝帚自珍
bizhouzuoye 俾昼作夜
bizhumofa 笔诛墨伐
bizoulongshe 笔走龙蛇
bizuofuren 婢作夫人
bizuojichi 璧坐玑驰
bianbenjiali 变本加厉
biancaiwuai 辩才无碍
bianchangbuji 鞭长不及
bianchangmoji 鞭长莫及
bianchenbujing 边尘不惊
biandikaihua 遍地开花
biandongbuju 变动不居
biangongqianxi 变躬迁席
bianguluanchang 变古乱常
bianguyichang 变故易常
bianhuabuce 变化不测
bianhuaduoduan 变化多端
bianhuamoce 变化莫测
bianhuawuqiong 变化无穷
bianhuanmoce 变幻莫测
bianhuanwuchang 变幻无常
bianhuanwuqiong 变幻无穷
bianlianbianse 变脸变色
bianpiruli 鞭辟入里
bianriyanliang 辨日炎凉
biansezhiyan 变色之言
bianshengbuce 变生不测
bianshengzhouye 变生肘腋
biantilinshang 遍体鳞伤
bianweiweian 变危为安
bianwujufang 辨物居方
bianxinyilv 变心易虑
bianyicongshi 便宜从事
bianyixingshi 便宜行事
bianyongzhensu 砭庸针俗
biaobingqiangu 彪炳千古
biaofeitizhuang 膘肥体壮
biaolibuyi 表里不一
biaoliruyi 表里如一
biaolishanhe 表里山河
biaoliweijian 表里为奸
biaolixiangying 表里相应
biaoliyizhi 表里一致
biaomeizhinian 摽梅之年
