daoxianquanchangbihecha 导线全长闭合差
daoxianwang 导线网
daoxianxiangduibihecha 导线相对闭合差
daoxianzhejiao 导线折角
daoxianzongxiangwucha 导线纵向误差
daoyuceliang 岛屿测量
daoyutu 岛屿图
dejichushangcaiyong 的基础上采用
dengbixian 等比线
dengbianxingxian 等变形线
dengbiao 灯标
dengchuan 灯船
dengfubiao 灯浮标
denggao 灯高
denggaoju 等高距
denggaolengjing 等高棱镜
denggaoxian 等高线
denggaoyi 等高仪
dengguangjiezou 灯光节奏
dengguangshecheng 灯光射程
dengguangzhebi 灯光遮蔽
dengguangzhouqi 灯光周期
dengjigan 等级感
dengjijiegou 等级结构
dengjitouying 等积投影
dengjiaodingweigewang 等角定位格网
dengjiaotouying 等角投影
dengjuliangbiao 等距量表
dengjutouying 等距投影
dengjuyuanhugewang 等距圆弧格网
dengliangweidu 等量纬度
dengpiansheying 等偏摄影
dengqingsheying 等倾摄影
dengquandaitifa 等权代替法
dengse 灯色
dengshenxian 等深线
dengta 灯塔
dengzhihuiduchi 等值灰度尺
dengzhiquyufa 等值区域法
dengzhiquyutu 等值区域图
dengzhixianditu 等值线地图
dengzhixianfa 等值线法
dibashigongceliang 堤坝施工测量
dibancedian 底板测点
dibiaoyidongguancezhan 地表移动观测站
dibiaoyidongquxiantu 地表移动曲线图
dichanjieceliang 地产界测量
dichaoshiyanjiao 低潮适淹礁
dichaoxian 低潮线
dicijingweiyi 地磁经纬仪
diciyi 地磁仪
dididian 地底点
didianweidu 底点纬度
dierpianxinlv 第二偏心率
diguzuobiaoxi 地固坐标系
diji 地籍
dijibu 地籍簿
dijice 地籍册
dijiceliang 地籍测量
dijiceliangxitong 地籍测量系统
dijiceliangxize 地籍测量细则
dijidiaocha 地籍调查
dijigengxin 地籍更新
dijiguanli 地籍管理
dijitu 地籍图
dijituce 地籍图册
dijixitong 地基系统
dijixinxixitong 地籍信息系统
dijixiuce 地籍修测
dijizhitu 地籍制图
dijizuobiao 地极坐标
dijizuobiaoxi 地极坐标系
dijieceliang 地界测量
dikuaiceliang 地块测量
dikuaishujuku 地块数据库
dileijietu 地类界图
diligewang 地理格网
dilishiju 地理视距
dilixinxichuanshu 地理信息传输
dilixinxixitong 地理信息系统
diliyaosu 地理要素
dilizuobiao 地理坐标
dilizuobiaocankaoxi 地理坐标参考系
dilizuobiaowang 地理坐标网
dimaotu 地貌图
dimaoxingtaishiliangtu 地貌形态示量图
dimiandiandetianwenweiducheng 地面点的天文纬度呈
dimianjieshouzhan 地面接收站
dimianliticetuyi 地面立体测图仪
dimianshepuyi 地面摄谱仪
dimiansheyingceliang 地面摄影测量
dimiansheyingji 地面摄影机
dimianshikuang 地面实况
dimianzhaodu 地面照度
dimingbiaozhunhua 地名标准化
diminglu 地名录
dimingshujuku 地名数据库
dimingsuoyin 地名索引
dimingtongming 地名通名
dimingxue 地名学
dimingzhengming 地名正名
dimingzhuanxie 地名转写
dipianchangshufa 底片常数法
dipianfangweiyuansufa 底片方位元素法
dipingxiansheyingji 地平线摄影机
dipingxianxiangpian 地平线像片
diqiaojunheng 地壳均衡
diqiaojunhenggaizheng 地壳均衡改正
diqiaojunhengshuo 地壳均衡说
diqiaoxingbianguance 地壳形变观测
diqingxieguance 地倾斜观测
diqiuchangbanzhou 地球长半轴
diqiudingxiangcanshu 地球定向参数
diqiudonglibianlv 地球动力扁率
diqiudongliyinzi 地球动力因子
diqiuduanbanzhou 地球短半轴
diqiutongbuweixing 地球同步卫星
diqiutuoqiu 地球椭球
diqiutuoqiubianlv 地球椭球扁率
diqiuwei 地球位
diqiuweishu 地球位数
diqiuweixishu 地球位系数
diqiuxingzhuang 地球形状
diqiuyehedonglixiaoying 地球液核动力效应
diqiuyi 地球仪
diqiuyinlishedong 地球引力摄动
diqiuzhonglichangmoxing 地球重力场模型
diqiuziyuanweixing 地球资源卫星
diqiuzizhuancanshu 地球自转参数
diqiuzizhuanjiaosudu 地球自转角速度
disequchu 底色去除
disezengyi 底色增益
dishitu 地势图
ditubianji 地图编辑
ditubianzhi 地图编制
ditubiaoshifa 地图表示法
dituchuanshu 地图传输
ditudiezhifenxi 地图叠置分析
ditufenlei 地图分类
ditufenxi 地图分析
ditufuhaoku 地图符号库
ditufuhaoxue 地图符号学
ditufuzaxing 地图复杂性
ditufuzailiang 地图负载量
ditufuzhi 地图复制
dituganshou 地图感受
ditugengxin 地图更新
dituguifan 地图规范
dituji 地图集
ditujixinxixitong 地图集信息系统
dituliyong 地图利用
dituliangsuan 地图量算
dituliangsuanfa 地图量算法
ditumoxing 地图模型
dituneirongjiegou 地图内容结构
ditupandu 地图判读
ditupingjia 地图评价
dituqianxinxi 地图潜信息
dituqingxixing 地图清晰性
ditusebiao 地图色标
ditusepu 地图色谱
ditushangsuoyoufuzhuyaosu 地图上所有辅助要素
ditusheji 地图设计
ditushengchan 地图生产
ditushujujiegou 地图数据结构
ditushujuku 地图数据库
ditushujukuguanlixitong 地图数据库管理系统
ditushuzihua 地图数字化
ditutouying 地图投影
dituxianshi 地图显示
dituxinxi 地图信息
dituxinxixitong 地图信息系统
dituxue 地图学
dituyanjiufa 地图研究法
dituyiduxing 地图易读性
dituyinshua 地图印刷
dituyufa 地图语法
dituyuyan 地图语言
dituyuyi 地图语义
dituyuyong 地图语用
dituyuedu 地图阅读
dituzhengshi 地图整饰
dituzhitu 地图制图
dituzhituruanjian 地图制图软件
dituzhituxue 地图制图学
dituzhuji 地图注记
diwuboputexing 地物波谱特性
diwudian 地物点
dixiaguanxianceliang 地下管线测量
dixiatiedaoceliang 地下铁道测量
dixiayoukuceliang 地下油库测量
dixinjingdu 地心经度
dixinweidu 地心纬度
dixinyinlichangshu 地心引力常数
dixinzhijiaozuobiao 地心直角坐标
dixinzuobiaoxi 地心坐标系
dixingceliang 地形测量
dixingceliangxue 地形测量学
dixingditu 地形底图
dixinggaizheng 地形改正
dixingshujuku 地形数据库
dixingtu 地形图
dixingtugengxin 地形图更新
dixingtutushi 地形图图式
dixingxian 地性线
diyipianxinlv 第一偏心率
diyingliceliang 地应力测量
dizhentaijingmiceliang 地震台精密测量
dizhi 底质
dizhicaiyang 底质采样
dizhicaotu 地质草图
dizhiceliang 地质测量
dizhidianceliang 地质点测量
dizhidiaocha 底质调查
dizhifenbutu 底质分布图
dizhiluetu 地质略图
dizhipoumianceliang 地质剖面测量
dizhipoumiantu 地质剖面图
dianciboceju 电磁波测距
diancibocejuyi 电磁波测距仪
diancibopu 电磁波谱
dianfangshi 点方式
dianheouhe 电荷耦合
dianheouhecunchuqi 电荷耦合存储器
dianheouheqi 电荷耦合器
dianheouheqijian 电荷耦合器件
dianlanbiao 电缆标
dianlicengzheshegaizheng 电离层折射改正
diansuanjiami 电算加密
dianweizhongwucha 点位中误差
dianxiaduizhong 点下对中
dianxingtuxingpingcha 典型图形平差
dianzhifa 点值法
dianzhiji 点之记
dianzhixiang 电指向
dianzhuangfuhao 点状符号
dianzicejuyi 电子测距仪
dianzichubanxitong 电子出版系统
dianzidetuji 电子地图集
dianziditu 电子地图
dianzifenseji 电子分色机
dianzihaitushujuku 电子海图数据库
dianzijingweiyi 电子经纬仪
dianzipingbanyi 电子平板仪
dianziqiujiyi 电子求积仪
dianzishoubu 电子手簿
dianzishuizhunyi 电子水准仪
dianzisuceyi 电子速测仪
dianziwaiyeshoubu 电子外业手簿
dianzixianweisheyingceliang 电子显微摄影测量
dianzixiangguan 电子相关
