fangchuizhuangxingxi 纺锤状星系
fangshixingdeng 仿视星等
fangweijiao 方位角
fangweitianwenxue 方位天文学
fangzhao 方照
fangzhongzhuangxingxi 纺锺状星系
feigaosi 非高斯
feigaosixing 非高斯性
feihuidaqi 非灰大气
feijingxiang 非径向
feijingxiangmaidong 非径向脉动
feijuburedongpingheng 非局部热动平衡
feijuburedongpingwen 非局部热动平稳
feiredianzi 非热电子
feirefushe 非热辐射
feishi 非势
feixianxingraodong 非线性扰动
fenguangguangdubiaozhunxing 分光光度标准星
fenguangguangduwendu 分光光度温度
fenguangjie 分光解
fenguangjuli 分光距离
fenguangshicha 分光视差
fenguangshuangxing 分光双星
fenlikongjing 分立孔径
fenliesuikuai 分裂碎块
fenliuzhixiangguan 分流直象管
fenxing 分星
fenzhiyue 分至月
fenzhongzhendang 分钟振荡
fenzidaipianruode 分子带偏弱的
fenziyun 分子云
fenzizhong 分子钟
fudanxing 富氮星
fudongtiandingyi 浮动天顶仪
fuduzhishu 富度指数
fugaixiaoying 覆盖效应
fuhaihe 富氦核
fuhaixing 富氦星
fuheqi 复合期
fujinshuxingtuan 富金属星团
fujing 副镜
fulamaliweng 弗拉马里翁
fulidemanyuzhoumoxing 弗里德曼宇宙模型
fupushuangxing 复谱双星
fuqinglizi 负氢离子
fushedai 辐射带
fushedian 辐射点
fusheweizhushiqi 辐射为主时期
fushewendu 辐射温度
fushezhanyouqi 辐射占优期
fushezhuanyi 辐射转移
fushezhuanyifangcheng 辐射转移方程
fushenzhuanyifangcheng 辐身转移方程
fuyuan 复圆
gamashexianbao 伽马射线暴
gaitianshuo 盖天说
gaizhengjing 改正镜
gaizhengmianji 改正面积
ganshepianzhenlvguangqi 干涉偏振滤光器
gansheshuangxing 干涉双星
ganyingyueqian 感应跃迁
gaoguangduhengxing 高光度恒星
gaohongyileixingtiguangpuzhong 高红移类星体光谱中
gaojiedaoshuyinli 高阶导数引力
gaojingxiangjie 高径向阶
gaolu 高鲁
gaonengtiantiwulixue 高能天体物理学
gaopianzhenxing 高偏振星
gaosixing 高斯性
gaosiyinlichangshu 高斯引力常数
gaosuceguang 高速测光
gaosuxing 高速星
gebainiweixing 哥白尼卫星
geboniweixing 哥伯尼卫星
gedatianwentai 各大天文台
geleitianti 各类天体
gelili 格里历
gelinian 格里年
gelinnizhihengxingriqi 格林尼治恒星日期
gelinnizhipinghengxing 格林尼治平恒星
gelinnizhipinghengxingshi 格林尼治平恒星时
gelinnizhipingshi 格林尼治平时
gelinnizhiziwuxian 格林尼治子午线
gexiangyixingyuzhoulun 各向异性宇宙论
genganruo 更暗弱
gengjingweixijie 更精微细节
gongbaocengyanhua 共包层演化
gongdian 拱点
gongdong 共动
gongdongguifan 共动规范
gongdongzuobiao 共动坐标
gongjixing 拱极星
gonglvpuhanshu 功率谱函数
gongshengshuangxing 共生双星
gongshengxinxing 共生新星
gongshengxing 共生星
gongxian 拱线
gongxiandian 共线点
gongzhongxing 共重星
gongzhuan 公转
gongzhuanbanjing 共转半径
gongzhuanzhouqizuiduan 公转周期最短
gongzhuangantiaoxitong 拱状暗条系统
gudebi 古德臂
gudedai 古德带
gujuguanxi 估距关系
gulijifen 孤立积分
gumuxingyun 古姆星云
guancedao 观测到
guancegongzuo 观测工作
guanceshouduan 观测手段
guancetianwenxue 观测天文学
guanceyanjing 观测眼镜
guanceyuzhouxue 观测宇宙学
guancezhan 观测站
guanxiangtai 观象台
guangbianquxian 光变曲线
guangbianzhouqi 光变周期
guangbojiezhi 光薄介质
guangdianceguang 光电测光
guangdianchengxiang 光电成象
guangdiandenggaoyi 光电等高仪
guangdianzhongxingyi 光电中星仪
guangdu 光度
guangdubiaozhunxing 光度标准星
guangduhanshu 光度函数
guangduji 光度级
guangdushicha 光度视差
guangduyanhua 光度演化
guangduzhiliang 光度质量
guanggansheceliang 光干涉测量
guanghoujiezhi 光厚介质
guangjubianleixingti 光剧变类星体
guanglanguangjing 光阑光径
guanglankongjing 光阑孔径
guangnian 光年
guangpubianxing 光谱变星
guangpufenlei 光谱分类
guangpufenxi 光谱分析
guangpuguangdutu 光谱光度图
guangpuxing 光谱型
guangpuxingwei 光谱型为
guangpuzhong 光谱中
guangpuzhongchuxian 光谱中出现
guangqiuhuodong 光球活动
guangshen 光深
guangshenzhongxingyi 光申中星仪
guangtongguangduji 光瞳光度计
guangwuran 光污染
guangxianshepuyi 光纤摄谱仪
guangxingcha 光行差
guangxingchachangshu 光行差常数
guangxingshi 光行时
guangxingshicha 光行时差
guangxuebi 光学臂
guangxuechuangkou 光学窗口
guangxueduiyingti 光学对应体
guangxueguance 光学观测
guangxuemaichongxing 光学脉冲星
guangxuerenzheng 光学认证
guangxuetaiyang 光学太阳
guangxuetianpingdong 光学天平动
guangxuetianti 光学天体
guangxuetianwenxue 光学天文学
guangxuewangyuanjing 光学望远镜
guangxuexinxi 光学信息
guangxuezhengren 光学证认
guangyixiangduilun 广义相对论
guangyizhuxu 广义主序
guangzhijiezhi 光质介质
guangzijishu 光子计数
guibiao 圭表
guidaobanchangjingyuezai 轨道半长径约在
guidaogaijin 轨道改进
guidaogenshu 轨道根数
guidaogongzhen 轨道共振
guidaopianxinlv 轨道偏心率
guidaoqingjiao 轨道倾角
guidaoshangdexiangduiweizhi 轨道上的相对位置
guidaotaiyangguancezhan 轨道太阳观测站
guidaotianwentai 轨道天文台
guixiang 鬼象
guixingtuan 鬼星团
guojidiqiuzizhuanfuwu 国际地球自转服务
guojijiyifuwu 国际极移服务
guojijiyiriqi 国际极移日期
guojishijianju 国际时间局
guojitianwenxuelianhehui 国际天文学联合会
guojiweidufuwu 国际纬度服务
guojixieyiyuandian 国际协议原点
guojiyuanzishi 国际原子时
guojiziwaitanceqi 国际紫外探测器
guojiatianwentai 国家天文台
habobanjing 哈勃半径
habocanshu 哈勃参数
habochangshu 哈勃常数
habochangshu 哈波常数
haboguanxi 哈勃关系
haboguanxi 哈波关系
habojuli 哈勃距离
habokongjianwangyuanjing 哈勃空间望远镜
habonianling 哈勃年令
haboshijian 哈勃时间
habotu 哈勃图
haboxingyun 哈勃星云
haboxulie 哈勃序列
haboxulie 哈波序列
hafofenlei 哈佛分类
hafoxuanqu 哈佛选区
haleihuixing 哈雷彗星
hatemanjianyan 哈特曼检验
haierwangyuanjing 海尔望远镜
haifengdu 氦丰度
hailisimoxing 海利斯模型
hairanliao 氦燃料
hairanshao 氦燃烧
haishan 氦闪
haiwaixingxing 海外行星
haiwangxing 海王星
haiwangxinghuan 海王星环
hanghaitianwenli 航海天文历
hanghaitianwenxue 航海天文学
hangtiandonglixue 航天动力学
haomibotianwenxue 毫米波天文学
haomiaomaichongxing 毫秒脉冲星
haosan 耗散
hebige 赫比格
hecipulong 赫茨普龙
hegu 河鼓
heguer 河鼓二
hehecheng 核合成
heluotu 赫罗图
heluotushangcongzuoshang 赫罗图上从左上
heqiu 核球
heqiushexianyuan 核球射线源
heshengcheng 核生成
heshikongxi 赫氏空隙
hewaitianwenxue 河外天文学
hexieerwangyuanjing 赫歇尔望远镜
heiaixing 黑矮星
heitaiyang 黑太阳
heizibanying 黑子半影
heizibenying 黑子本影
heizixiangduishu 黑子相对数
hengxing 恒星
hengxingbaoceng 恒星包层
hengxingcankaoxi 恒星参考系
hengxingcengci 恒星层次
hengxingdonglixue 恒星动力学
hengxingfeng 恒星风
hengxingfuheti 恒星复合体
hengxinggansheyi 恒星干涉仪
hengxingguangxingcha 恒星光行差
hengxingheizi 恒星黑子
hengxinghuodong 恒星活动
hengxingjiegou 恒星结构
hengxingnian 恒星年
hengxingri 恒星日
hengxingshixiangsuduyi 恒星视向速度仪
hengxingtianwenxue 恒星天文学
hengxingwulixue 恒星物理学
hengxingxingcheng 恒星形成
hengxingyanhua 恒星演化
hengxingyue 恒星月
hengxingyun 恒星云
hengxingzhong 恒星钟
hongaixing 红矮星
hongguantuxiang 宏观图象
honghua 红化
hongjuxing 红巨星
hongjuxingzhi 红巨星支
hongwaichao 红外超
hongwaichaotianti 红外超天体
hongwaichuangkou 红外窗口
hongwaiduiyingti 红外对应体
hongwaifenguang 红外分光
hongwaikongjiantianwentai 红外空间天文台
hongwaitianwenweixing 红外天文卫星
hongwaitianwenxue 红外天文学
hongwaiwangyuanjing 红外望远镜
hongwaixingdeng 红外星等
hongwaixingxi 红外星系
hongwaiyuan 红外源
hongyi 红移
hongyiyinzi 红移因子
houdaqi 厚大气
houduanjieshoushebei 后端接收设备
houpan 厚盘
houpanzu 厚盘族
housuiheizi 后随黑子
hudietu 蝴蝶图
huraoxingxi 互扰星系
huzuoyongshuangxing 互作用双星
huzuoyongxingxi 互作用星系
huaxueyanhua 化学演化
huanraosudu 环绕速度
huanraowoerfu 环绕沃尔夫
huanshidai 环食带
huanxingshan 环形山
huanyu 环与
huanzhuangxingxi 环状星系
huangchijiaojiao 黄赤交角
huangdao 黄道
huangdaodai 黄道带
huangdaoguang 黄道光
huangdaojingweiyi 黄道经纬仪
huangdaoshiergong 黄道十二宫
huangdaozuobiaoxi 黄道坐标系
huangji 黄极
huangjiatianwenxuehui 皇家天文学会
huangjiatianwenxuejia 皇家天文学家
huangjing 黄经
huangjingquan 黄经圈
huangjingsuicha 黄经岁差
huangjingzhangdong 黄经章动
huangjingzongsuicha 黄经总岁差
huangwei 黄纬
huangweiquan 黄纬圈
huidaqi 灰大气
huiding 彗顶
huidong 灰洞
huifa 彗发
huiguinian 回归年
huiguiyue 回归月
huihe 彗核
huijia 绘架
huitou 彗头
huiwei 彗尾
huixing 彗星
huixingqiuzhuangti 彗形球状体
huixuanjiasufushe 回旋加速辐射
huiyun 彗晕
huizhuangxingyun 彗状星云
huizhuangxingyun 慧状星云
hunhechanglilun 混合长理论
huntianshuo 浑天说
hunxiang 浑象
hunyi 浑仪
huodongjingdu 活动经度
huodongrier 活动日珥
huodongtaiyang 活动太阳
huodongxingxi 活动星系
huodongxingxihe 活动星系核
huodongxue 活动穴
huofeimifenbu 或费米分布
huoliuxing 火流星
huowei 火卫
huoyuehuixing 活跃彗星
jibentianticeliangxue 基本天体测量学
jibenxingbiao 基本星表
jibianqianshuangxing 激变前双星
jibianshuangxing 激变双星
jibianxingxi 激变星系
jifawendu 激发温度
jifaxing 激发星
jiguangceyue 激光测月
jihebianxing 几何变星
jihetianpingdong 几何天平动
jihengfuchenyi 玑衡抚辰仪
jiju 极距
jiraoxingxi 激扰星系
jiri 积日
jishiyi 记时仪
jitimoni 几体模拟
jixianbaoguangshijian 极限暴光时间
jixianbaoguangshijian 极限曝光时间
jixianfenbianlv 极限分辨率
jixianfenbianlv 极限分辩率
jixianxingdeng 极限星等
jixianyi 纪限仪
jixianghengxing 极向恒星
jixiangtianti 极向天体
jiyi 极移
jiyishu 即依数
jiyu 极羽
jizaoqiyuzhou 极早期宇宙
jizhuxingxi 寄主星系
jiziwaitanceqi 极紫外探测器
jialilue 伽利略
jialiluewangyuanjing 伽利略望远镜
jialilueweixing 伽利略卫星
jiamabao 伽玛暴
jiasupengzhang 加速膨胀
jiazhenkong 假真空
jiazhijing 架直径
jianbingqiti 简并气体
jianbingxing 简并星
jianfengbaofa 尖峰爆发
jianhuarulueriqi 简化儒略日期
jianjinjuxingzhi 渐近巨星支
jianluelishuriqi 简略历书日期
jiansupengzhang 减速膨胀
jiansuyinzi 减速因子
jianyi 简仪
jianyuzuo 箭鱼座
jiangjiaodian 降交点
jiaobishuaitui 焦比衰退
jiaochaceguang 较差测光
jiaochaguance 较差观测
jiaochawanchen 较差弯沉
jiaochaxingbiao 较差星表
jiaochazizhuan 较差自转
jiaodiannian 交点年
jiaodiantuixing 交点退行
jiaodianxitui 交点西退
jiaodianxian 交点线
jiaodianyue 交点月
jiaodongliangji 角动量极
jiaohuxingyun 礁湖星云
jiaojiaozhangdong 交角章动
jiaojingyuanxiaoyu 角径远小于
jiaomiao 角秒
jiaoshigaikuang 交食概况
jiaoshiyaosu 交食要素
jiaosuyi 角宿一
jieduanyinzi 截断因子
jiemianfa 截面法
jindidian 近地点
jindixiaoxingxing 近地小行星
jindian 近点
jindianfujiao 近点幅角
jindianjiao 近点角
jindiannian 近点年
jindianyue 近点月
jingongdian 近拱点
jinjieyueqian 禁戒跃迁
jinlinxingxi 近邻星系
jinniugong 金牛宫
jinniuxingtuan 金牛星团
jinniuxingxing 金牛型星
jinqibochang 金期波长
jinqizhiliang 金期质量
jinridian 近日点
jinridianfujiao 近日点辐角
jinridianjindong 近日点进动
jinshudu 金属度
jinshufengdu 金属丰度
jinshuxianxing 金属线星
jinsibochang 金斯波长
jinsizhiliang 金斯质量
jinxian 禁线
jinxiangjieshuangxing 近相接双星
jinxindian 近心点
jinxingdian 近星点
jinyinxindian 近银心点
jingdianjifen 经典积分
jingdianraodong 经典扰动
jingdianxinxing 经典新星
jingdianzaofubianxing 经典造父变星
jingdianzhangluo 经典涨落
jingfu 景符
jingshenchang 精神场
jingshi 镜室
jingtianpingdong 经天平动
jingxiangmaidong 径向脉动
jingyuliuxingqun 鲸鱼流星群
jingyuxingxing 鲸鱼型星
jiuyuqiang 就愈强
jubi 巨壁
juburedongpingheng 局部热动平衡
judong 巨洞
jufenziyun 巨分子云
juguangnengli 聚光能力
jujida 巨极大
jujianxingxi 居间星系
jujiao 距角
julichidu 距离尺度
julidu 距离度
julimoshu 距离模数
jumili 巨米粒
jumilizuzhi 巨米粒组织
jushizhen 巨石阵
jutuoyuanxingxi 巨椭圆星系
juxiegong 巨蟹宫
juxing 聚星
juxing 距星
juxingxi 巨星系
juxingxing 巨行星
juxingzhi 巨星支
juyinliyuan 巨引力源
juyoushuangzi 具有双子
juyuguanxingxi 局域惯性系
juyujingzhibiaozhun 局域静止标准
juzhixing 巨支星
jueduiceguang 绝对测光
jueduipingzhi 绝对平直
jueduishikong 绝对时空
jueduixingbiao 绝对星表
jueduixingdeng 绝对星等
juereraodong 绝热扰动
juezhong 绝钟
junlun 均轮
kajiaoshepuyi 卡焦摄谱仪
kalindunziwuquan 卡林顿子午圈
kalindunzuobiao 卡林顿坐标
kaputan 卡普坦
kaputanwangyuanjing 卡普坦望远镜
kaputanxing 卡普坦星
kaputanxuanqu 卡普坦选区
karongxing 喀戎星
kasaigelinwangyuanjing 卡塞格林望远镜
kashijiaodian 卡氏焦点
kaxinidinglv 卡西尼定律
kaxinihuanfeng 卡西尼环缝
kaikewangyuanjing 凯克望远镜
kaipulechaoxinxing 开普勒超新星
kaipuledinglv 开普勒定律
kaipulefangcheng 开普勒方程
kaipuleguidao 开普勒轨道
kaipulepan 开普勒盘
kaipulewangyuanjing 开普勒望远镜
kaiyuzhou 开宇宙
kangde 康德
kaogutianwenxue 考古天文学
keerheidong 克尔黑洞
kekewudekongxi 柯克伍德空隙
kelaimangdina 克莱芒蒂娜
kelisiqinsenshizi 克里斯琴森十字
kewaertianti 柯瓦尔天体
keweierfangfa 科威尔方法
kexing 客星
keyibo 柯伊伯
keyibodai 柯伊伯带
keyibojizaitianwentai 柯伊伯机载天文台
